quad_id,scale,center_x,center_y,sp_rich,sp_shannon,sp_simpson,sp_even,phy_faith,phy_rao,phy_afaith,spec_sa,spec_pca_mean,spec_pca_med,spec_pca_sd,spec_rao_q,spec_alpha,spec_convex,spec_hull3d_v,spec_hull3d_a,env_elev,env_tri5,env_tri11,env_tri21,parent_20m,edge_flag,primary_analysis,spec_sa_z,spec_pca_mean_z,spec_rao_q_z,spec_alpha_z,phy_faith_z,phy_afaith_z,sp_shannon_z,env_elev_z,env_tri11_z
0_a,10m,563505.0874095006,3847718.707607787,6,1.3751371412082225,0.7283381843748872,0.767478651473612,656.0746730000001,184.09245747749495,299.4839126608217,3.02560440689825,8.53603237660035,8.10231085122425,4.12808808506114,179.802255851583,506.509390608393,1088.6190018392099,9662.29630632562,2855.25043506913,220.029150704029,1.8504117589734128,8.889335765591161,31.96464781473681,0,TRUE,FALSE,1.7403211951463664,0.5018545726982101,0.15158579085075607,-0.39869033887022076,0.3775402455191896,-0.26571119040233154,0.4420775235341711,-0.2794879055432701,-0.08093011143266537
0_b,10m,563498.2965956988,3847711.3669714946,3,0.9398643361673285,0.5674607180834876,0.855501386487095,369.873566,139.4707943641069,159.37541376080844,2.9493690301664,7.77160775838731,7.32842003319471,3.68039318561862,147.878275559261,423.451847446917,680.977059974412,4248.79811463894,1687.73279746925,219.05897874331933,1.4612715965596,7.336837180541441,28.08010729375234,0,TRUE,FALSE,1.018032656550695,-0.0054211611612868344,-0.2131433815992143,-0.9060372741696109,-0.5605603807698941,-0.45652906660926007,-0.4254515166229343,-0.3348034435502924,-0.507320923651209
0_c,10m,563490.956001104,3847718.1578263217,2,0.6922710312972382,0.4991241066463772,0.998735983803614,247.468474,123.5174810083922,226.62416939392477,2.87333740952765,8.32866670040126,7.98698827549152,3.83778357050336,168.185749800493,580.371401041329,996.269458230373,8118.52096212824,2552.95669424913,217.45319058699425,1.3219035945648372,6.449050811264663,24.094852807462253,0,TRUE,FALSE,0.29767459560233517,0.36424574500625906,0.018868047011240677,0.05248679931393401,-0.9617757872014732,-0.3649410128636585,-0.9189222311627387,-0.42635941443967035,-0.7511497778078484
0_d,10m,563497.7468149049,3847725.4984626137,4,1.248226529680057,0.6807867537056236,0.9004051121377293,517.9637020000001,178.39504830019263,249.89686885521544,2.86599322516298,7.74974062544128,6.93430632311877,4.46632456855903,160.007982334908,672.96396854064,1217.78277227517,9977.59848212308,3099.86568275786,218.0976546375481,1.438136230046992,6.995490177364714,26.64273071727883,0,TRUE,FALSE,0.2280924616988968,-0.0199322923419272,-0.07456235649419139,0.6180772750753958,-0.07515537732650886,-0.3332452405181509,0.1891358287401743,-0.3896145103130934,-0.6010712351390801
1000_a,10m,563640.905035168,3847865.519099196,5,1.2830212183826657,0.6765808919048522,0.797185904762387,464.339974,95.28173113393235,181.09609359288336,2.75452741927128,6.37253027258903,6.06367606300572,3.36303816503638,103.835353733739,406.003882315189,769.739815064841,4395.21573966088,1862.65797729932,208.17806461371055,1.2731710173537545,6.171894996865934,22.7141888046294,1000,TRUE,FALSE,-0.8279851428506517,-0.9338554912770509,-0.7163305870356508,-1.0126160543724263,-0.2509214788208528,-0.4269470353415851,0.2584840686098889,-0.9551920380085824,-0.8272701002033638
1000_b,10m,563634.1141846938,3847858.1785121374,5,1.082749642837097,0.6043410449366818,0.6727501784766308,984.084727,324.5213077596043,522.1863621217196,2.81547794935047,8.37489800789773,7.94530123244578,4.28748694181874,177.038401910624,599.839949365484,1373.63711176538,10738.6118962539,3411.48251886724,206.8967743510344,1.5382396789401849,7.882146265888712,31.896793946645424,1000,TRUE,FALSE,-0.2505121744625125,0.39492505579609005,0.12000895890724649,0.17140806704015582,1.4526808706269605,0.037593810834858576,-0.14067114093157404,-1.0282463655849485,-0.3575528104622831
1000_c,10m,563626.7735055109,3847864.9694971354,6,1.5235480019967524,0.7503694719777403,0.8503083299753085,988.096389,297.10143711535466,597.8609509427531,2.88646562090943,9.05210040957894,8.85150413236898,3.88050067190156,193.993388285471,612.384881213771,1234.76407034428,7220.76091919678,2879.97552817718,208.19798388711172,1.667131887934282,7.725591183427809,28.77963240826283,1000,TRUE,FALSE,0.4220572250300638,0.8443197208806607,0.31371845542907506,0.24803726270988968,1.4658301651007242,0.14065725405943524,0.7378707137305286,-0.9540563163329232,-0.40055036898521573
1000_d,10m,563633.5643309846,3847872.3100841967,2,0.6711312587159336,0.47814612568850456,0.9682377387350454,237.157208,113.3958001843028,231.5620126850837,2.83119656767579,6.59507450478288,5.88917905518721,3.9370504086127,117.98657154206,479.114230147129,923.448161365806,5029.3864137551,2171.46977406564,209.3553191385006,1.363639468900183,5.917166595634392,21.11417091932481,1000,TRUE,FALSE,-0.10158685467465202,-0.7861741031942936,-0.5546539441757515,-0.5660303560801679,-0.9955737175932426,-0.358216019181912,-0.961055271417518,-0.8880694349575448,-0.8972307758150389
1001_a,10m,563626.2237406684,3847879.1009940584,5,0.9510000448675916,0.5674296237035608,0.5908895506439931,357.883292,130.4110168736054,257.33747275800766,2.79682679332404,6.52677198990328,6.10198523385613,3.30008951471995,106.975542891711,434.000088641099,820.772108167057,5191.62039912755,2064.09314992949,210.5083474005622,1.1416731937483742,5.105146173206936,18.457708152269664,1001,FALSE,TRUE,-0.4272216865940576,-0.8314999699108753,-0.6804541523794447,-0.8416046213488706,-0.5998617086602077,-0.32311166371464084,-0.4032572729938135,-0.8223281218334418,-1.1202506553763458
1001_b,10m,563619.4328477815,3847871.760480928,4,0.965703980511268,0.5806706173099071,0.6966081718251693,772.690322,342.04534595187715,744.8326676182157,2.87798981203083,7.88479775617431,7.19507568446278,4.2075390862129,159.742155100773,613.013223341544,978.527317196296,7599.55874456692,2536.28065445626,209.65617811926077,1.2384186652772895,6.239391348205025,23.962509826079792,1001,FALSE,TRUE,0.34175356719056055,0.06969224809439606,-0.0775994134724543,0.25187541443832856,0.7597792050701319,0.34082234795935673,-0.3739513043512468,-0.8709155931037561,-0.8087323544389503
1001_c,10m,563612.0923189475,3847878.5514068394,3,0.1366686651288833,0.05014491146190281,0.12440118005103694,690.3314630000001,17.976669664692768,329.3114249784947,2.91120599007606,9.34129962960518,8.86745955530183,4.30409625440304,211.565968326981,743.830575734521,1166.39290195538,9615.74985637943,2866.30474988833,210.18490499339083,1.0133833783039083,4.485877593616263,17.35830418730303,1001,FALSE,TRUE,0.656458704444764,1.0362336690647826,0.5144839150510471,1.050957355635706,0.48982603117009427,-0.2250882260734073,-2.0262764739479393,-0.8407695852971799,-1.2903316043548818
1001_d,10m,563618.8832118339,3847885.8919199686,4,0.6324204177414766,0.31646056768748154,0.45619490021627745,331.952278,38.73519521905353,176.45072305736915,2.85367248172176,6.00473677678532,5.36806934998841,3.5008955969372,96.6234628398254,485.895012222742,896.22508820533,5438.24299737437,2153.2057437544,211.28496591478253,1.1238045598920887,5.569463524997519,20.68525879030429,1001,FALSE,TRUE,0.1113601497976549,-1.1779249666017981,-0.7987259203697343,-0.5246107706451998,-0.6848575380918213,-0.43327370179465763,-1.0382086757316007,-0.7780482697246595,-0.9927267692590458
1002_a,10m,563611.5426376172,3847892.682796826,6,1.575397882802414,0.762125185566944,0.8792462994383636,1027.515554,249.3408911169741,505.0542749214077,2.77518747844706,8.82832149646308,7.94973707757521,4.6275095517907,198.701464217444,703.371952483296,1116.97461839581,8035.29947759489,2729.33554625802,212.34022931393403,1.998353878383824,8.595021269688116,28.21048853009897,1002,FALSE,TRUE,-0.6322423710681663,0.6958189927925281,0.3675078834006594,0.8038207593480577,1.5950370146545685,0.014261118526960888,0.8412111402553832,-0.7178811395382902,-0.16176303338458553
1002_b,10m,563604.7517447321,3847885.342283695,3,0.9591685378379912,0.572203535829654,0.8730728280864474,92.23951400000009,28.045661742399513,77.33528185794941,2.75123454046596,8.60564903287377,7.6332324645913,5.21507366888103,202.502215069694,687.999391579998,1027.31061943598,9659.27467792152,2839.14725129939,210.59266106024052,1.1764155302017916,5.485170661191887,20.375035599669623,1002,FALSE,TRUE,-0.85918337026196,0.5480525097590248,0.4109311877736126,0.7099193343224146,-1.4705801944262258,-0.568261929757067,-0.3869768971374008,-0.8175208756592323,-1.0158776455357925
1002_c,10m,563597.4112158982,3847892.133209608,5,0.8818405965851178,0.4475424820292384,0.5479183693712233,301.5096160000001,72.09181904316732,155.60051126825883,2.95626842070185,10.0236610461391,9.0707583219883,5.33551046857379,257.875315089152,882.705271921722,1722.5125891255,17802.5467681962,4385.19828037769,211.4328699350685,1.399448867786684,6.207257753463376,21.806607738017416,1002,FALSE,TRUE,1.0834006119630406,1.48905188041284,1.0435648619318356,1.8992566047987876,-0.7846414997524125,-0.46167021709029266,-0.5410968740243732,-0.7696153415564039,-0.817557785710409
1002_d,10m,563604.2021087836,3847899.473722739,6,1.5431649319582228,0.734229100012492,0.8612567470471166,1031.007601,302.15370991532,930.0527083454036,2.86247437923713,8.85964490654642,8.01389852068577,4.70029877896121,201.167105831933,794.974584011806,1310.5961154607,10431.778561173,3173.30459053116,213.17832519351688,1.969952527971759,8.656806435033566,29.374645127062585,1002,FALSE,TRUE,0.194753319291752,0.7166053534858202,0.39567766102162427,1.363364331218417,1.6064831320790232,0.5930789568018019,0.776968622497663,-0.6700960804373428,-0.1447938540961808
