"Name","SA_entropy_smooth_masked_711","SA_entropy_smooth_masked","SA_entropy_smooth","global_PCA_20m_masked_5nm","SA_entropy_20m_masked_5nm","SumBandEntropy_20m_masked_5nm","AfaithPD","evnnss_","faithPD","raoPD","rchnss_","shnnn_d","smpsn_d","CAGL8","FAGR","LIST2","LITU","OXAR","QURU","ACRU","DIVI5","JUVI","ACSA3C","CACA38","FRAMCO","FRQU","QUSH","TIAM","CAOV2","PRSES","QUAL","QUMU","JUNI","QUNI","ULAL","QUVE","AEFL","CATO6","ALJU","OSVI","ULRU","CELA","MAAC","ACNE2","CACA18","CACO15","ULAM","CALA21","PLOC","CARYA","CAOV3","PIEC2","PIVI2","QUFA","ULSE","QUMO4","NYSY","QUPA5","CAPA24","SAAL5","LIBE3","PATO2","GLTR","COOB2","dmnnt_v","avg_lvt","elvtn_r","geometry"
0,1.64626756966193,1.55355660287858,2.0727388853453,6.88192248494812,2.89445485080671,4.04969686043429,3050.90822915014,0.865138021973789,1121.19967651367,219.093227483294,8.58101291825929,1.84074131183818,0.807085161281721,1,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,218.654056066319,5.48899841308594,"POLYGON ((-86.30593438613866 34.76965891316249, -86.30608390644898 34.76952737696617, -86.30624330712396 34.76965075998148, -86.3060937868372 34.76978229637131, -86.30593438613866 34.76965891316249))"
1,1.4335151946903,1.39125440590114,1.77698150389126,11.5487115452344,2.64142166762556,3.86008777757035,4644.60254465351,0.820504776394094,1394.37361964257,223.919639140898,9.28789737691709,1.81234111737356,0.800818494864699,0,3,5,6,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,214.790458984375,4.54100036621094,"POLYGON ((-86.3060937868372 34.76978229637131, -86.30624330712396 34.76965075998148, -86.30640270827392 34.76977414279123, -86.30625318801069 34.76990567937457, -86.3060937868372 34.76978229637131))"
10,1.5161145239456,1.45724602683847,1.75841599036014,7.06991320294058,2.78010449194581,3.89505513347761,2993.05474837985,0.801511415998444,1199.437567558,236.730288634167,10.1527410390723,1.85118353761183,0.771787609611152,1,0,0,0,0,0,0,0,2,1,7,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,239.471920479563,6.406005859375,"POLYGON ((-86.30578486426818 34.76979044825881, -86.30593438613866 34.76965891316249, -86.3060937868372 34.76978229637131, -86.30594426607546 34.76991383256902, -86.30578486426818 34.76979044825881))"
100,1.46751695091106,1.3642262839439,1.74789563027414,9.31446648151208,2.73544429398813,3.93461411530463,3437.01448032041,0.828390936459167,1072.41202763425,207.721156484869,11.2548007264922,1.99543657242497,0.825338911406602,1,4,2,7,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,219.545795555115,5.28399658203125,"POLYGON ((-86.30625318801069 34.76990567937457, -86.30640270827392 34.76977414279123, -86.30656211099907 34.76989752449994, -86.30641258965913 34.77002906217222, -86.30625318801069 34.76990567937457))"
1000,1.55414704128928,1.43814748957206,1.69635734701242,6.0539453052649,2.8352101168513,3.88342194268375,3125.22029241248,0.916476819032355,1561.16088094591,271.521167726155,13.5638852590247,2.37169449118119,0.886989103087896,0,0,1,0,0,1,0,0,2,3,0,0,0,0,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,208.15267141442,4.47000122070312,"POLYGON ((-86.30594426607546 34.76991383256902, -86.3060937868372 34.76978229637131, -86.30625318801069 34.76990567937457, -86.30610366727252 34.77003721576575, -86.30594426607546 34.76991383256902))"
1001,1.57070597988293,1.47365375922856,1.7355396047174,6.60984806939483,2.81887998145823,4.02104944905833,4780.4411367682,0.877356289006487,1488.88745395322,306.869674759877,15.0789597523363,2.37687557437752,0.879149102410184,0,1,1,0,0,1,0,0,4,2,0,0,0,0,1,0,0,6,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,210.42065612793,4.25,"POLYGON ((-86.30563534300795 34.76992198407093, -86.30578486426818 34.76979044825881, -86.30594426607546 34.76991383256902, -86.30579474483881 34.77004536857463, -86.30563534300795 34.76992198407093))"
1002,1.54616117724153,1.47432522508054,1.74315178435934,10.5326063231603,2.75342589675674,4.00144756239462,4764.37716558325,0.875208681472992,1522.55363887564,267.731752546082,14.9926504348677,2.36080304296265,0.880412168326875,0,3,4,1,0,0,0,0,3,2,0,0,0,0,0,0,0,7,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,211.8871647732,4.85099792480469,"POLYGON ((-86.30641258965913 34.77002906217222, -86.30656211099907 34.76989752449994, -86.30672151309886 34.77002090689857, -86.30657199069728 34.7701524438564, -86.30641258965913 34.77002906217222))"
1003,1.50317185534289,1.39920476290277,1.59750335917368,8.007880958194,2.73626801621404,3.93272406523004,4587.36402299022,0.89398013923611,1776.43318715957,267.081606178187,18.1672407616186,2.59017185703792,0.905720256515435,1,1,4,2,0,0,0,1,1,2,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,213.621176490784,6.01800537109375,"POLYGON ((-86.30610366727252 34.77003721576575, -86.30625318801069 34.76990567937457, -86.30641258965913 34.77002906217222, -86.30626306894449 34.77016059875692, -86.30610366727252 34.77003721576575))"
1004,1.55385170106086,1.4641106785124,1.82787454226765,6.77394373750565,2.81445130184235,3.9136392632593,4405.45361079636,0.920534430417699,1795.6462327797,316.035837653939,17.562862097762,2.63555012889794,0.912019432501028,0,2,2,2,0,0,0,0,4,1,0,0,0,1,1,0,0,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,215.696729011536,5.87199401855469,"POLYGON ((-86.30579474483881 34.77004536857463, -86.30594426607546 34.76991383256902, -86.30610366727252 34.77003721576575, -86.30595414605939 34.77016875196485, -86.30579474483881 34.77004536857463))"
1005,1.50699334863639,1.46993509633576,1.73072041005915,6.78028358313561,2.7688009322974,3.95576789601826,4133.60098521559,0.916912059995193,1704.69711914063,289.751557053192,15.8136918369728,2.52934695919858,0.900359132621862,0,1,0,1,0,0,0,1,3,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,216.855214868103,5.20999145507812,"POLYGON ((-86.30548582128037 34.77005351878925, -86.30563534300795 34.76992198407093, -86.30579474483881 34.77004536857463, -86.30564522313475 34.77017690348643, -86.30548582128037 34.77005351878925))"
