quad_id,scale,Name,ACNE2,ACRU,ACSA3C,AEFL,ALJU,CACA18,CACA38,CACO15,CAGL8,CALA21,CAOV2,CAOV3,CAPA24,CARYA,CATO6,CELA,DIVI5,FAGR,FRAMCO,FRQU,GLTR,JUNI,JUVI,LIBE3,LIST2,LITU,MAAC,NYSY,OSVI,OXAR,PATO2,PIEC2,PIVI2,PLOC,PRSES,QUAL,QUFA,QUMO4,QUMU,QUNI,QUPA5,QURU,QUSH,QUVE,SAAL5,TIAM,ULAL,ULAM,ULRU,ULSE,richness,shannon,simpson,evenness,faith_pd,rao_pd,afaith_pd
0,20m,0,0,0,0,0,0,0,0,0,0.003880274494275467,0,0,0,0,0,0,0,0,0.9576371327384686,0,0,0,0,0,0,2.7960158624935874,0.8276540507511858,0,0,0,1.807718498003348,0,0,0,0,0,0,0,0,0,0,0,0.7421901770673166,0,0,0,0,0,0,0,0,6,1.4738899766332485,0.739960761277801,0.8225936583263855,656.0746730000001,182.9379719115858,842.8585437047415
1,20m,1,0,0.37033579396730143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9999999999649627,0.1940356103145804,0,0,0,0,1.0000000000383564,0,3.9553814159926106,3.4193578632761286,0,0,0,1.0353604741955806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.6160053525731635,0.7657835414616279,0.8304624719479933,1245.613468,258.15615262983687,1864.1909977592625
100,20m,100,0,0,0.45954275393405297,0,0,0,0,0,0.8913860968381329,0,0.6869380795905536,0,0,0,0,0,0,1.7013834799584306,0,0,0,0,0,0,1.368572201381445,2.333220430240202,0,0,0,0.34965851575770956,0,0,0,0,0.9999999999992034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.9205574971181145,0.8342119806927335,0.9235929256114745,846.5883510000001,205.34751207055393,996.5698384929558
2,20m,2,0,0.16214672913103204,0.4137408256727188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.839666139629643,0,0,0,0,0,0,3.3606431315060625,2.0768242138190507,0,0,0,0.5967357545678521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.454283822885487,0.7262535023118074,0.8116512555739623,649.8735650000001,187.42935351833034,1115.8654708595946
101,20m,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67275871482838,0,0,0,0,0,0,2.3538676474217333,3.375212244347835,0,0,0,1.1550378193418587,0,0,0,0,0,0,0,0,0.13820899458188696,0,0,0,0,0.9999999999986812,0,0,0.7294029883683816,0,0,0,7,1.669596283717742,0.7842352759489167,0.8580027626292437,681.119817,192.6718511731388,1256.1473595231007
200,20m,200,0,0,0.5404572460488232,0,0,0,0,0,0,0,0,0,0,0,2.014852232500429,0,0,2.8417707749495222,0,0,0,0,0,0,3.5254803920542788,0.5543077631485557,0,0,0,1.3587918218680834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.5911365059291631,0.7699547191690819,0.8880301922526875,734.4218680000002,186.5379581379611,1252.486423941364
3,20m,3,0,0,0.5862591743373349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9354134096638425,0,0,0,0,0,0,1.2128549194832023,3.3022384031371743,0,0,0,0,0,0,0,0,0,0,0,0,0.4811276683637354,0,0,0,0,0,0,0,0,0,0,0,5,1.345025563446511,0.6745522198961749,0.835711370445043,553.039477,174.86065497337566,819.4620759663428
102,20m,102,0,0,0,0,0,0,0,0.8805183002443498,0,0,0,0,0,0,0,0,0,2.0306474749077164,0,0,0,0,0,0,0.6067763819490009,2.125517671580078,0,0,0,0.3563618395050985,0,0,0,0,0,0,0,0,0.9558160325895809,0,0,0,0,0,0,0,0.27059701162009875,0,0,0,7,1.720140858069748,0.7912875314332795,0.8839775356045241,767.2226810000001,187.04488857195304,739.3419084849046
201,20m,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04107958462461192,0,0,2.819655488222347,0.32158539971477224,0,0,0,0,0,1.7250223026650797,2.6222803918957984,0,0,0,0.14805377475451786,0,0,0,0,0,0,0,0,0.8617910054159039,0,0,0.07156229635000141,0,0,0,0,0,0,0,0,8,1.5380475895424752,0.7481135154976055,0.7396445433613844,780.1921000000002,182.51037356639975,884.2913600685935
300,20m,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0364695166239772,0,0,0,0,0,0,0,0,0,0.8873598641863769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6137943914229912,0.4227694908555907,0.8855181246314087,244.81018300000014,103.49827642317402,357.8916023139252
