quad_id,scale,center_x,center_y,sp_rich,sp_shannon,sp_simpson,sp_even,phy_faith,phy_rao,phy_afaith,spec_sa,spec_pca_mean,spec_pca_med,spec_pca_sd,spec_rao_q,spec_alpha,spec_convex,spec_hull3d_v,spec_hull3d_a,spec_spca_mean,spec_spca_med,spec_spca_sd,spec_spca_rao,spec_spca_alpha,spec_spca_convex,spec_spca_hull3d_v,spec_spca_hull3d_a,env_elev,env_tri5,env_tri11,env_tri21
0_a,10m,563505.0874095006,3847718.707607787,6,1.3751371412082225,0.7283381843748872,0.767478651473612,656.0746730000001,184.09245747749495,299.4839126608217,3.02560440689825,8.47252449331256,8.04136013218115,4.10024349678561,177.183774994502,499.378404646183,1067.78957449128,9386.89094763867,2797.77271934471,7.24448332808458,6.25690935128485,4.82827980046946,151.579164544997,519.590123973146,2417.79078320823,43053.8693584889,6951.69165636831,220.029150704029,1.8504117589734128,8.889335765591161,31.96464781473681
0_b,10m,563498.2965956988,3847711.3669714946,3,0.9398643361673285,0.5674607180834876,0.855501386487095,369.873566,139.4707943641069,159.37541376080844,2.9493690301664,7.70641369841934,7.26044738767371,3.65308587422507,145.459729805383,416.193717133695,668.588346262698,4122.17382553314,1657.11467681275,6.99679980320841,6.41694791532754,3.68553974045068,125.068711954205,444.978692201073,1226.15999495504,17648.9344500237,3804.53551465708,219.05897874331933,1.4612715965596,7.336837180541441,28.08010729375234
0_c,10m,563490.956001104,3847718.1578263217,2,0.6922710312972382,0.4991241066463772,0.998735983803614,247.468474,123.5174810083922,226.62416939392477,2.87333740952765,8.25042454588505,7.90986339622946,3.8006753301838,165.024574879106,572.045970591876,978.39912915129,7905.26331939086,2504.11801356547,7.41725736729784,6.8135901059566,4.01885439577511,142.328538320891,600.940844853767,1534.31023135157,23464.9261241472,4517.3303350697,217.45319058699425,1.3219035945648372,6.449050811264663,24.094852807462253
0_d,10m,563497.7468149049,3847725.4984626137,4,1.248226529680057,0.6807867537056236,0.9004051121377293,517.9637020000001,178.39504830019263,249.89686885521544,2.86599322516298,7.69119317414123,6.88615141054727,4.43291756821637,157.605409547091,665.595460684029,1196.62028843394,9720.12212082722,3041.48216543965,7.1105702388288,6.03880939481146,4.52029206347199,141.981287739904,698.861019227282,2127.65628808513,34634.5532417433,6027.73130816484,218.0976546375481,1.438136230046992,6.995490177364714,26.64273071727883
1000_a,10m,563640.905035168,3847865.519099196,5,1.2830212183826657,0.6765808919048522,0.797185904762387,464.339974,95.28173113393235,181.09609359288336,2.75452741927128,6.32377916890955,6.01811159896135,3.33583758860843,102.233057013401,399.826151503029,755.508928171607,4280.36008082323,1829.5658797113,6.2983155829654,5.45760055576725,3.61580407142684,105.482189645015,475.787827465653,958.107741612656,13305.9296440892,3034.2697699559,208.17806461371055,1.2731710173537545,6.171894996865934,22.7141888046294
1000_b,10m,563634.1141846938,3847858.1785121374,5,1.082749642837097,0.6043410449366818,0.6727501784766308,984.084727,324.5213077596043,522.1863621217196,2.81547794935047,8.30511615892819,7.88713230214832,4.24678654253081,174.01586618146,593.307107277569,1349.57240111502,10450.5443850267,3344.44906448163,7.44649882904375,6.38643181295788,4.72756495706127,155.594935049035,701.536476870985,2150.92684601059,29940.3406147875,5886.64852690385,206.8967743510344,1.5382396789401849,7.882146265888712,31.896793946645424
1000_c,10m,563626.7735055109,3847864.9694971354,6,1.5235480019967524,0.7503694719777403,0.8503083299753085,988.096389,297.10143711535466,597.8609509427531,2.88646562090943,8.97999690988184,8.77466439997986,3.84642353975544,190.866484704965,NA,1183.30669711923,6988.15018661989,2821.25460800616,9.4491206698103,8.37071542684535,5.1144004117748,230.878604698062,751.750758189469,1652.91037935773,21197.2665039006,4646.7057554888,208.19798388711172,1.667131887934282,7.725591183427809,28.77963240826283
1000_d,10m,563633.5643309846,3847872.3100841967,2,0.6711312587159336,0.47814612568850456,0.9682377387350454,237.157208,113.3958001843028,231.5620126850837,2.83119656767579,6.51864250446197,5.82839566030699,3.87403404022385,114.997636550488,472.343620175757,906.377856155943,4914.92333908245,2129.9251942238,8.39038632777836,7.48800114929726,5.0826951040284,192.457784965954,686.463623424553,1371.01533690497,17913.9158434006,3934.28350032707,209.3553191385006,1.363639468900183,5.917166595634392,21.11417091932481
1001_a,10m,563626.2237406684,3847879.1009940584,5,0.9510000448675916,0.5674296237035608,0.5908895506439931,357.883292,130.4110168736054,257.33747275800766,2.79682679332404,6.4743577452165,6.05224447477582,3.26972956163238,105.213792884183,425.281783072351,806.250322604032,5043.51439411197,2022.70302289335,6.1428469831252,5.50797301557661,3.39896818880763,98.5717724559731,488.501859561055,1175.00262829017,13909.3391361517,3311.91361817211,210.5083474005622,1.1416731937483742,5.105146173206936,18.457708152269664
1001_b,10m,563619.4328477815,3847871.760480928,4,0.965703980511268,0.5806706173099071,0.6966081718251693,772.690322,342.04534595187715,744.8326676182157,2.87798981203083,7.82754419931451,7.1422778603902,4.18345026849862,157.538775656332,602.899918210417,961.783640199732,7367.42173872668,2484.77967873994,7.18264370211934,6.13894489171665,4.43456814405605,142.506324423318,696.599989210191,1791.03876803769,28752.0446415453,5318.15377280088,209.65617811926077,1.2384186652772895,6.239391348205025,23.962509826079792
